ecg,emgz,emg,eda
-0.2301,-0.012207,-0.031433,1.5067
-0.26489,-0.014038,-0.031128,1.5063
-0.2243,-0.0082397,-0.058594,1.5063
-0.16968,0.0012207,-0.083313,1.5063
-0.13885,0.00061035,-0.073547,1.5063
-0.12329,0,-0.054626,1.506
-0.11139,-0.0024414,-0.03418,1.5063
-0.10345,-0.0042725,-0.039063,1.5067
-0.11169,-0.0076294,-0.017395,1.5063
-0.13672,-0.010986,0.0018311,1.5067
-0.14557,-0.0033569,0.015869,1.5067
-0.11322,-0.016785,0.028687,1.5063
-0.071716,-0.023804,0.053406,1.5067
-0.049133,-0.02533,0.063782,1.506
-0.042114,-0.029297,0.066223,1.5057
-0.032654,-0.017395,0.061951,1.506
-0.029602,-0.015869,0.049438,1.5057
-0.038757,-0.015869,0.020752,1.506
-0.046082,-0.012512,-0.0091553,1.5057
-0.043335,-0.0021362,-0.02594,1.5057
-0.043335,-0.00061035,-0.027771,1.5063
-0.060425,0.0082397,-0.036011,1.5057
-0.075073,0.014038,-0.048218,1.5054
-0.074463,0.015564,-0.052795,1.5054
-0.072021,0.011597,-0.054016,1.506
-0.079041,0.013428,-0.05127,1.5054
-0.082703,0.0067139,-0.04425,1.5054
-0.072021,-0.005188,-0.039673,1.506
-0.053101,-0.0076294,-0.02533,1.506
-0.027771,-0.010071,-0.016174,1.5057
-0.0036621,-0.0067139,0.00091553,1.5054
0.0057983,-0.0057983,0.019836,1.5057
0.0073242,-0.010071,0.01709,1.5051
0.0088501,-0.020447,0.031738,1.5063
-0.00061035,-0.021973,0.036926,1.5054
-0.031128,-0.013123,0.036926,1.5054
-0.072021,-0.0085449,0.029907,1.5051
-0.097046,-0.0094604,0.018311,1.5054
-0.097656,-0.0015259,0.019531,1.5048
-0.083008,-0.0027466,-0.0012207,1.5048
-0.075073,-0.0042725,-0.027466,1.5051
-0.080872,-0.0076294,-0.040894,1.5051
-0.08667,-0.0024414,-0.043945,1.5051
-0.075989,-0.0018311,-0.050354,1.5051
-0.049133,0.0027466,-0.063477,1.5051
-0.037537,-0.0036621,-0.058594,1.5045
-0.046692,-0.0064087,-0.054016,1.5048
-0.035095,0.0039673,-0.033875,1.5051
-0.0064087,0.0024414,-0.0091553,1.5054
